Idusuario,Deslogin,Dessenha,Dtcadastro1,João,164864,2018-08-20 21:41:04
2,João,164864,2018-08-20 21:41:26
3,João,164864,2018-08-20 21:41:28
4,João,164864,2018-08-20 21:41:29
5,João,164864,2018-08-20 21:41:29
6,João,164864,2018-08-20 21:41:29
7,Ratao,164864,2018-08-20 22:46:12
8,Ratao,164864,2018-08-20 23:53:31
9,Ratao,164864,2018-08-20 23:53:32
10,Ratao,164864,2018-08-20 23:53:32
11,Ratao,164864,2018-08-20 23:53:32
18,Renteria,123456121,2018-08-22 11:27:40
19,Renteria,123456121,2018-08-22 11:38:24
20,Renteria,123456121,2018-08-22 11:38:26
21,Renteria,123456121,2018-08-22 11:38:50
12,swdwd,daiowdjawoijd,2018-08-21 00:19:18
13,swdwd,daiowdjawoijd,2018-08-21 00:19:20
14,swdwd,daiowdjawoijd,2018-08-21 00:19:21
15,swdwd,daiowdjawoijd,2018-08-21 00:19:21
16,swdwd,daiowdjawoijd,2018-08-21 00:19:22
17,swdwd,daiowdjawoijd,2018-08-21 00:19:22
